Arm,PSA draws,Draws with positive dQALY,P(dQALY <= 0),dCost 2.5th,dCost median,dCost 97.5th,dQALY 2.5th,dQALY median,dQALY 97.5th,ICER 2.5th (positive dQALY draws),ICER median (positive dQALY draws),ICER 97.5th (positive dQALY draws)
SRP+Atridox,5000,4904,0.0192,194.01516997617506,269.6781389846435,364.73625700736727,0.003283076756353732,0.04923025179172136,0.11308896942777008,1973.2209146896578,5455.627309749814,35076.18860443189
SRP+Periochip,5000,5000,0.0,185.87720053069788,254.82024782073836,342.09976501905834,0.026589475893216453,0.05874059477285343,0.10689222016267647,2022.0984792478168,4392.350730849375,10788.751181587459
SRP+Arestin,5000,5000,0.0,222.01177719845242,302.8261312447323,400.82508127886206,0.022661750757516686,0.04648404489335789,0.07588459507964504,3482.08594023701,6533.81606484043,14443.39342818531
